호기,일자,발전총량(MW),발전최대,발전최소,대기시간,가동시간,유량,산소,측정온도,온도,습도,풍속,NOX,가동시간_multi_hot
6,2023-01-19,19412000.0,850956.0,762449.0,0.0,24.0,204523.22,5.13,85.02,4.71,64.63,2.57,9.8,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-20,19010683.0,838311.0,694061.0,0.0,24.0,207525.68,4.53,86.86,-3.1,39.75,3.71,12.38,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-20,0.0,0.0,0.0,24.0,0.0,152.77,20.88,1.16,-3.1,39.75,3.71,80.15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-20,19176000.0,848595.0,727269.0,0.0,24.0,207808.14,5.58,92.48,-3.1,39.75,3.71,9.85,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-20,19376000.0,854522.0,726704.0,0.0,24.0,202588.85,5.0,85.58,-3.1,39.75,3.71,10.01,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-21,19109249.0,844863.0,680837.0,0.0,24.0,207664.42,4.41,85.97,-2.3,83.1,4.4,12.34,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-21,0.0,0.0,0.0,24.0,0.0,40.49,20.9,0.0,-2.3,83.1,4.4,99.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-21,19160000.0,843227.0,725158.0,0.0,24.0,205417.41,5.61,91.04,-2.3,83.1,4.4,9.39,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-21,19324000.0,849905.0,725142.0,0.0,24.0,201011.32,4.91,87.19,-2.3,83.1,4.4,9.99,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-22,18519946.0,818729.0,680173.0,0.0,24.0,201222.33,4.53,86.65,-1.84,73.74,0.24,12.39,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-22,0.0,0.0,0.0,24.0,0.0,49.56,20.89,0.29,-1.84,73.74,0.24,91.15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-22,19122000.0,822228.0,720774.0,0.0,24.0,205298.03,5.54,92.22,-1.84,73.74,0.24,9.02,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-22,19508000.0,821342.0,805456.0,0.0,24.0,201770.15,4.86,88.81,-1.84,73.74,0.24,10.02,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-23,17490250.0,838518.0,672538.0,0.0,24.0,193335.07,4.7,86.77,-6.31,61.13,7.26,12.04,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-23,0.0,0.0,0.0,24.0,0.0,100.59,20.87,0.8,-6.31,61.13,7.26,73.05,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-23,18488000.0,852093.0,721051.0,0.0,24.0,198126.46,5.66,92.87,-6.31,61.13,7.26,9.58,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-23,18564000.0,860230.0,722621.0,0.0,24.0,193662.76,4.97,90.29,-6.31,61.13,7.26,10.03,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,2023-01-24,18079549.0,851201.0,677893.0,0.0,24.0,197376.34,4.69,84.8,-14.4,55.96,1.78,12.3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,2023-01-24,0.0,0.0,0.0,24.0,0.0,2586.2,20.9,0.0,-14.4,55.96,1.78,109.07,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,2023-01-24,18775000.0,858712.0,720430.0,0.0,24.0,199479.77,5.62,86.81,-14.4,55.96,1.78,9.25,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,2023-01-24,18869000.0,866610.0,722706.0,0.0,24.0,194814.66,4.91,87.17,-14.4,55.96,1.78,9.26,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
